ward,type,location,year,est_cost,id,query,geometry,ward_locate,precinct_locate,ward_precinct_locate
6,Alley Apron Menu,7513 S LANGLEY AVE,2022,12060.605,5032,census,"c(-87.607812259, 41.7578732150001)",6,38,06038
8,Alley Speed Hump Menu,7514 S CREGIER AVE,2021,700,6521,census,"c(-87.581024828, 41.758092355)",8,20,08020
6,Sidewalk Menu,7515 S RHODES AVE,2022,2849.26,5048,census,"c(-87.611442612, 41.757783825)",6,43,06043
6,Bollard Menu,7600 DR. MARTIN LUTHER KING JR. DR,2007,714,4606,census,"c(-87.6150835779999, 41.756438727)",6,45,06045
6,Bollard Menu,7757 DR. MARTIN LUTHER KING JR. DR,2006,714,4554,google,"c(-87.6147417, 41.7532088)",6,35,06035
13,POD Camera,7825 S Kostner,2007,12000,10586,census,"c(-87.73167469, 41.7509650910001)",13,42,13042
8,Miscellaneous CDOT Projects,7841 S STONY ISLAND AVE E,2022,75,6582,google,"c(-87.585217, 41.752077)",8,13,08013
13,Miscellaneous-Other,8 th Dist Police Station,2005,1178,10419,google,"c(-87.6506526, 41.8645034)",25,3,25003
13,Miscellaneous-Other,8 th Dist Police Station,2006,1777,10494,google,"c(-87.6506526, 41.8645034)",25,3,25003
13,POD Camera,8100 S Kostner,2005,24000,10420,census,"c(-87.731511687, 41.745578358)",13,10,13010
18,Sidewalk Menu,8112 S RICHMOND ST,2021,2183.45666666667,16154,census,"c(-87.6961807179999, 41.745579541)",18,22,18022
4,Street Light Upgrade Menu,813 E 47TH PL,2021,500,3793,census,"c(-87.6058450529999, 41.8086293850001)",4,26,04026
18,Sidewalk Menu,8155 S FAIRFIELD AVE,2022,1731.65,16208,census,"c(-87.6912754419999, 41.7453410140001)",18,4,18004
18,Sidewalk Menu,8156 S RICHMOND ST,2021,2183.45666666667,16154,census,"c(-87.6961621459999, 41.744910954)",18,22,18022
21,Street Speed Hump Menu,8229 SWENTWORTH AVE,2021,2350,18440,google,"c(-87.6289145, 41.7444956)",21,65,21065
6,Alley Speed Hump Menu,846 W 69TH ST,2021,700,4994,census,"c(-87.644793019, 41.7688417620001)",6,15,06015
2,Street Resurfacing Menu,850 N DEWITT PL,2021,52357.98,2427,census,"c(-87.620201282, 41.898371538)",42,62,42062
1,Alley Resurfacing Menu,850 N OAKLEY BLVD,2021,32906.95,948,census,"c(-87.684437278, 41.8971195180001)",32,6,32006
6,Alley Apron Menu,8645 S PRAIRIE AVE,2021,33966.46,4991,census,"c(-87.617782255, 41.737655085)",6,58,06058
7,Street Light Upgrade Menu,8800 S SOUTH CHICAGO AVE,2022,500,5789,census,"c(-87.563534093, 41.735636449)",7,1,07001
21,Curb & Gutter Menu,8840 S EMERALD AVE,2022,799.805,18463,census,"c(-87.6423352159999, 41.73357571)",21,11,21011
2,Miscellaneous-CDOT,9 th Street Median improvements,2005,150000,1033,google,"c(-87.6312867, 41.8707554)",2,1,02001
48,Alley Resurfacing Menu,916 W CARMEN AVE,2021,19832.84,42164,census,"c(-87.653046945, 41.9743345750001)",48,4,48004
21,Sidewalk Menu,9221 S BISHOP ST,2021,9685.535,18413,census,"c(-87.6591397459999, 41.7262777450001)",21,14,21014
25,Alley Resurfacing Menu,927 S CARPENTER ST,2021,20074.81,22223,census,"c(-87.65320475, 41.869926509)",25,25,25025
4,Alley Resurfacing Menu,936 E 47TH ST,2021,11377.22,3766,census,"c(-87.602322379, 41.8095878330001)",4,16,04016
10,Sidewalk Menu,9413 S COMMERCIAL AVE,2021,77222.18,8441,census,"c(-87.551107669, 41.724226194)",10,7,10007
44,Alley Resurfacing Menu,946 WDIVERSEY PKWY,2021,15021.36,38855,google,"c(-87.6533384, 41.9327425)",44,29,44029
21,Street Speed Hump Menu,9656 S UNION AVE,2021,1175,18441,census,"c(-87.640716851, 41.7186599390001)",21,27,21027
26,Chicago Park District,Augusta Pool,2006,20000,22432,google,"c(-87.7158208, 41.8991199)",27,29,27029
26,Miscellaneous-Other,Bloomingdale Trail,2008,15000,22479,google,"c(-87.7201679, 41.9136553)",26,11,26011
48,Miscellaneous-CDOT,Broadway Avenue Study,2009,50000,41602,google,"c(-87.6496156, 41.9512089)",46,5,46005
26,Schools,Casals School - 3501 W. Potomac Ave.,2011,20000,22646,google,"c(-87.7140646, 41.9043934)",26,2,26002
44,Miscellaneous-Other,Center on Halsted,2006,350000,38153,google,"c(-87.6497045, 41.9489773)",44,28,44028
32,Miscellaneous-CDOT,Chicago Ave. at Hoyne Ave. (crosswalk),2008,875,28005,google,"c(-87.6794905, 41.8958689)",32,17,32017
46,Chicago Park District,Clarendon Dog Friendly Area,2009,75000,39881,google,"c(-87.6477697, 41.9639632)",46,33,46033
42,Miscellaneous-CDOT,Clinton - Fulton River District,2005,1485,36236,google,"c(-87.6413589, 41.8880379)",42,18,42018
10,Miscellaneous-CDOT,Commercial 8926-27-30-32,2007,8886,7718,google,"c(-87.8458142, 41.8368422)",NA,NA,NA
43,Miscellaneous-Other,"CTA Fullerton Stop- Healy Stone Project. Menu 2003 ,2004 ,2005 ,",2005,6646,37163,google,"c(-87.6527796, 41.9251983)",43,21,43021
43,Miscellaneous-Other,CTA Fullerton Stop-healy Stone Project. Menu,2009,354,37403,google,"c(-87.6527796, 41.9251983)",43,21,43021
41,Miscellaneous-CDOT,Devon at Normandy,2007,600,35600,google,"c(-87.79393, 41.9973092)",41,22,41022
26,Miscellaneous-CDOT,Division Gateway Flag Painting,2006,20000,22394,google,"c(-87.6441581, 41.7614607)",17,35,17035
26,Miscellaneous-CDOT,Division Street Gateway,2010,424,22541,google,"c(-87.8353758, 41.9009303)",NA,NA,NA
26,Miscellaneous-CDOT,Division Street Gateways,2011,40771,22615,google,"c(-87.8353758, 41.9009303)",NA,NA,NA
26,Miscellaneous-CDOT,Division Street Gateways,2011,826,22616,google,"c(-87.8353758, 41.9009303)",NA,NA,NA
26,Miscellaneous Other,Division Street Gateways,2012,45711,22658,google,"c(-87.8353758, 41.9009303)",NA,NA,NA
4,Chicago Park District,Dyett Green Youth Farm Fence,2010,59020,3374,google,"c(-87.6122545, 41.8011311)",4,3,04003
27,Chicago Park District,Eckhart Park- playground - 1330 W. Chicago Ave.,2011,175000,23561,google,"c(-87.6612032, 41.8972278)",27,32,27032
48,Miscellaneous-Other,Edgewater Branch Library,2010,1000000,41639,google,"c(-87.668802, 41.9862871)",48,37,48037
16,Miscellaneous Other,Flower baskets- 63 rd St.,2012,47200,14254,google,"c(-87.6059255, 41.7803989)",20,5,20005
26,Schools,Funston School - 2010 N. Central Park Ave.,2011,20000,22644,google,"c(-87.7171524, 41.9178435)",26,24,26024
49,Miscellaneous-Other,Gale Community Center,2006,400000,42316,google,"c(-87.6712414, 42.0207515)",49,34,49034
9,Schools,Gately Stadium - scoreboard,2011,5000,6985,google,"c(-87.6026376, 41.7085091)",8,32,08032
8,Schools,Gately Stadium Scoreboard,2011,5000,6170,google,"c(-87.6026376, 41.7085091)",8,32,08032
24,New Alley Construction,"Gladys, Van Buren, Dead End, Kilpatrick",2010,1507,20843,google,"c(-87.7397502, 41.7748629)",13,36,13036
24,Concrete Alley Menu,Gladys,2012,148082,20897,google,"c(-87.5940458, 41.7365439)",8,1,08001
39,Chicago Park District,Gompers Park - Pulaski Ave.,2009,30000,34196,google,"c(-87.7367788, 41.9761424)",39,38,39038
9,Schools,Gwendolyn Brooks School - 250 E. 111 th St.,2009,200000,6926,google,"c(-87.6158523, 41.6940833)",9,43,09043
9,Schools,Gwendolyn Brooks,2010,474000,6957,google,"c(-87.5998136, 41.8117997)",4,15,04015
4,Miscellaneous-CDOT,Harper Ave. Construction,2011,200000,3385,google,"c(-87.587331, 41.7585469)",5,38,05038
4,Miscellaneous Other,Harper Ave.,2012,200000,3415,google,"c(-87.587331, 41.7585469)",5,38,05038
26,Miscellaneous-CDOT,Humboldt Dr. through Humboldt Park,2008,20000,22453,google,"c(-87.7022585, 41.9011913)",26,27,26027
43,Pole Painting,INNER LAKESHORE-DIVISION(1200 N) to NORTH AVE (1600 N),2006,11200,37193,google,"c(-87.8540754, 41.9070715)",NA,NA,NA
49,CTA,Jarvis CTA Station; Morse CTA Station; Loyola CTA Station,2010,59246,42470,google,"c(-87.6610257, 42.0011639)",49,7,49007
26,Miscellaneous-Other,La Crucifixion De Don Pedro Albizu Mural -2423 W. North Ave.,2008,25000,22480,google,"c(-87.6881975, 41.9100593)",1,32,01032
44,Chicago Park District,Lakse Shore Dr. Diversey-Briar,2009,9000,38244,google,"c(-87.6362215, 41.9328545)",44,7,44007
47,Miscellaneous-Other,Lane Tech,2006,25000,40413,google,"c(-87.6906541, 41.945166)",47,48,47048
42,Miscellaneous-CDOT,LaSalle Plaza 335,2011,5121,36601,google,"c(-87.6317057, 41.8773072)",2,49,02049
42,Miscellaneous Other,LaSalle Plaza 335,2012,979,36635,google,"c(-87.6317057, 41.8773072)",2,49,02049
42,Miscellaneous Other,LaSalle Plaza 335,2013,6100,36697,google,"c(-87.6317057, 41.8773072)",2,49,02049
43,Miscellaneous-CDOT,Lincoln Park West @ Dickens (Additional Work),2008,30000,37287,google,"c(-87.6361546, 41.9201749)",43,32,43032
26,Schools,Lowell School - 3320 W. Hirsch St.,2011,20000,22642,google,"c(-87.7105648, 41.9066526)",26,36,26036
42,Miscellaneous-CDOT,LSD on north side of Cedar Street,2008,400,36461,google,"c(-87.6558099, 41.9691927)",46,4,46004
42,Street Lighting,MADISON-WACKER TO CANAL,2006,1600,36370,google,"c(-87.637444, 41.881969)",42,9,42009
1,Miscellaneous-CDOT,Maplewood Ave. at Diversey,2008,40000,259,google,"c(-87.6915586, 41.9321363)",1,39,01039
11,Miscellaneous-CDOT,Mary Street - fence,2007,17500,8633,google,"c(-87.6529314, 41.845739)",11,1,11001
1,Miscellaneous-CDOT,Mautene Court Plaza Improvement,2008,35000,260,google,"c(-87.8072975, 41.7045826)",NA,NA,NA
44,Curb & Gutter Menu,Melrose - Broadway to Lake Shore Dr,2012,3515,38349,google,"c(-87.5905131, 41.8127955)",4,10,04010
30,Curb & Gutter Menu,MELROSE ST 5531 W PARKER AVE,2022,3452.64,26749,google,"c(-87.7650887, 41.9301642)",30,14,30014
42,Miscellaneous-Other,Michigan Ave. Planter maintenance,2008,77000,36509,google,"c(-87.62302, 41.8167082)",3,24,03024
49,Miscellaneous-CDOT,Morse Ave. Design,2007,65000,42338,google,"c(-87.681885, 42.0073132)",50,35,50035
49,O Alley Apron Menu  R,N & N WOLCOTT AVE FROM & W CHASE AVE (7300 N) TO & N OGERS AVE (7340 N),2019,21289.73,42886,google,"c(-87.6780744, 42.0151063)",49,19,49019
49,O Street Resurfacing Menu  A,N & W JARVIS AVE FROM & N BELL AVE (2200 W) TO & N OAKLEY VE (2300 W),2019,34239.48,42929,google,"c(-87.6861079, 42.0056723)",50,37,50037
49,O Street Resurfacing Menu  W,N & W PRATT BLVD FROM 1051 W TO & N SHERIDAN RD (1200 ),2019,76768.71,42930,google,"c(-87.6550313, 41.9781272)",48,14,48014
49,O Sidewalk Menu  W,N & W SHERWIN AVE FROM 1200 W TO & N SHERIDAN RD (1300 ),2019,36487.23,42909,google,"c(-87.6550313, 41.9781272)",48,14,48014
49,O Sidewalk Menu  W,N & W SHERWIN AVE FROM 1200 W TO & N SHERIDAN RD (1300 ),2019,2343.46,42920,google,"c(-87.6550313, 41.9781272)",48,14,48014
48,Alley Apron Menu,N Broadway & W Ardmore Ave,2011,12462,41652,census,"c(-87.660178577, 41.9872734520001)",48,16,48016
48,POD Camera,N Broadway & W Thorndale Ave,2009,13000,41628,census,"c(-87.6602629939999, 41.9900029560001)",48,31,48031
47,Miscellaneous-CDOT,N Damen Ave & W Byron St,2008,800,40502,census,"c(-87.678702218, 41.9523325910001)",47,29,47029
39,Miscellaneous Other,N FOREST GLEN AVE & W ELSTON AVE,2013,3000,34319,census,"c(-87.754730347, 41.9770870580001)",45,41,45041
39,Sidewalk Menu - Change Order,N KRUGER AVEELSTON,2011,593,34256,google,"c(-87.7460333, 41.9697377)",39,11,39011
48,Miscellaneous-CDOT,N Lake Shore Dr & W Foster Ave,2008,11000,41559,google,"c(-87.636788, 41.9361968)",44,7,44007
47,Miscellaneous-CDOT,N Lawrence Ave & N Campbell Ave,2009,800,40571,google,"c(-87.6913291, 41.9685905)",47,40,47040
47,Miscellaneous-CDOT,N Lincoln Ave & W Cullom Ave,2008,900,40500,census,"c(-87.68255729, 41.959576428)",47,28,47028
48,Miscellaneous-CDOT,N Marine Dr & W Foster Ave,2007,1800,41503,census,"c(-87.652150862, 41.9764438760001)",48,14,48014
48,POD Camera,N Sheridan Rd & W Thorndale Ave,2010,20000,41642,google,"c(-87.6553766, 41.9900978)",48,8,48008
42,In-Road State Law Stop for Pedestrians S,N STATE STDEAD END,2011,410,36598,google,"c(-87.6279105, 41.8851153)",42,9,42009
32,Chicago Park District,North Racine,2007,150000,27980,google,"c(-87.6584241, 41.9249067)",32,49,32049
42,Miscellaneous-CDOT,Ohio Place Dog Park,2006,11701,36303,google,"c(-87.6384183, 41.8923078)",42,59,42059
28,Street Light Residential Staggered Piggy Back Menu,ON & N KILDARE AVE FROM W,2021,41570.75,24773,google,"c(-87.7345638, 41.938994)",31,33,31033
26,Miscellaneous - Paseo Boriqua Medalli,Paseo Boricua Medallions,2006,20000,22391,google,"c(-87.694751, 41.9031849)",26,31,26031
26,Miscellaneous-CDOT,Paseo Boriqua Medallion,2006,45000,22393,google,"c(-87.694751, 41.9031849)",26,31,26031
26,Schools,Pedro Albizu - 2658 W. Haddon,2005,48433,22368,google,"c(-87.6942191, 41.9022176)",26,35,26035
26,Schools,Pedro Albizu -2658 W. Haddon,2007,37323,22447,google,"c(-87.6942191, 41.9022176)",26,35,26035
26,Schools,Pedro Albizu H.S. parking lot -2658 W. Haddon,2008,6244,22482,google,"c(-87.6942191, 41.9022176)",26,35,26035
25,Miscellaneous-CDOT,Permanent Street Cleaning Signs,2007,101002,21492,google,"c(-87.8140025, 41.7679382)",NA,NA,NA
25,Miscellaneous-Other,Pilsen Community,2006,6524,21471,google,"c(-87.659894, 41.857639)",25,24,25024
2,Miscellaneous-CDOT,Plymouth Pedestrian Tunnel,2006,1377,1059,google,"c(-87.6285815, 41.8676101)",2,11,02011
49,Miscellaneous-Other,Rogers Park Train Station,2010,78900,42472,google,"c(-87.6753999, 42.0091098)",49,3,49003
39,Miscellaneous Other,Saugnash Mural,2013,10000,34316,google,"c(-87.7425332, 41.9899768)",39,3,39003
48,Schools,Senn Academy,2006,25000,41493,google,"c(-87.6667743, 41.9890128)",48,42,48042
48,Miscellaneous-CDOT,South Edgewater Study,2009,60000,41603,google,"c(-87.6595004, 41.9722542)",48,35,48035
5,Chicago Park District,South Shore Cultural Center,2009,50370,4117,google,"c(-87.5636858, 41.7684565)",5,44,05044
5,Chicago Park District,South Shore Cultural Center,2009,42000,4118,google,"c(-87.5636858, 41.7684565)",5,44,05044
11,Miscellaneous-CDOT,Stockyard Truckers,2007,612,8632,google,"c(-87.6453965, 41.8199706)",11,35,11035
32,Chicago Park District,Supera,2007,98750,27979,google,"c(-87.6482409, 41.9184146)",43,11,43011
2,Miscellaneous Other,Temporary Parking signs in WEst Loop,2012,10000,1941,google,"c(-87.6627342, 41.8854407)",27,33,27033
50,Chicago Park District,Thillens Stadium,2009,250000,43152,google,"c(-87.7257084, 41.9579921)",39,28,39028
48,Miscellaneous-CDOT,Thorndale CTA Station,2010,31500,41634,google,"c(-87.6590417, 41.9901278)",48,31,48031
24,Miscellaneous Other,Tree installation - 4043 W. Harrison St.,2012,539,20934,google,"c(-87.72717, 41.8731002)",24,19,24019
19,Miscellaneous Other,Tree planting -2037 W. 108 th Pl,2012,515,16563,google,"c(-87.6730612, 41.6965365)",19,42,19042
16,Miscellaneous-CDOT,Various locations- Decorative Waste Receptacles,2011,42716,14196,google,"c(-87.7567583, 41.932642)",31,45,31045
11,Street Traffic Circle Menu,W 30TH,2021,15746.2857142857,9311,google,"c(-87.7201238, 41.8387904)",22,3,22003
49,Miscellaneous Other,W Estes Ave & N Glenwood Ave,2013,3228,42570,census,"c(-87.665866717, 42.011565632)",49,27,49027
39,Sidewalk Menu - Change Order,W FOSTER AVEKOSTNER,2011,1669,34257,google,"c(-87.7381101, 41.9754424)",39,11,39011
45,Alley Resurfacing Menu,W GOODMAN ST,2019,5412.52333333333,39630,google,"c(-87.7686033, 41.97171)",45,53,45053
49,Miscellaneous Other,W Lunt Ave & N Glenwood Ave,2013,3228,42569,google,"c(-87.6662054, 42.0091121)",49,31,49031
49,Miscellaneous Other,W Touhy Ave & Main st,2013,3228,42575,google,"c(-87.8017797, 42.0117916)",NA,NA,NA
40,Viaduct Improvement Menu,W,2022,5516.764,35472,google,"c(-87.6153661, 41.8939186)",42,64,42064
48,3 LPR Existing POD; 3 LPR w.o Existing POD; 1 POD Camera: Various Locations,W,2021,19988.4285714286,42158,google,"c(-87.6153661, 41.8939186)",42,64,42064
21,Sidewalk Menu - Change Order,W. 101 st Pl. Elizabeth Vincennes,2007,1486,17652,google,"c(-87.6537646, 41.7090312)",21,20,21020
1,Miscellaneous-Other,West Town Branch Library,2010,500000,371,google,"c(-87.6721671, 41.8935946)",1,33,01033
46,Miscellaneous-Other,Wilson Yard Development,2005,63962,39772,google,"c(-87.6559213, 41.9619841)",46,32,46032
46,Miscellaneous-Other,Wilson Yard Development,2006,120432,39796,google,"c(-87.6559213, 41.9619841)",46,32,46032
46,Miscellaneous-Other,Wilson Yard Development,2007,6009,39818,google,"c(-87.6559213, 41.9619841)",46,32,46032
46,Miscellaneous-Other,Wilson Yard Development,2008,500117,39841,google,"c(-87.6559213, 41.9619841)",46,32,46032
46,Miscellaneous-Other,Wilson Yard Development,2009,59480,39882,google,"c(-87.6559213, 41.9619841)",46,32,46032
