ward,type,location,year,est_cost,lat,long,query
14,Miscellaneous-CDOT,S Sawyer & W 57 ST-W 58 ST,2006,13765,41.789867,-87.7046696,google
14,Miscellaneous-CDOT,S Sawyer & W 58 ST-W 59 ST,2006,354,41.788052,-87.7046084,google
11,High Definition Camera Menu,S SHIELDS AVE & W 33 RD ST,2016,27011,41.834545872000035,-87.63523115599997,census
7,Miscellaneous-CDOT,S SHORE DR & E 81 ST,2010,500,41.7483245,-87.5479907,google
5,Miscellaneous Other,S SOUTH CHICAGO AVE & E 75 TH ST,2014,48972,41.7587385,-87.5956059,google
5,Miscellaneous Other,S SOUTH CHICAGO AVE & S INGLESIDE AVE,2014,43451,41.763546622000035,-87.60232837799998,census
5,Miscellaneous CDOT,S SOUTH CHICAGO AVE & S INGLESIDE AVE,2015,7849,41.763546622000035,-87.60232837799998,census
5,Pedestrian Countdown Signal Menu,S SOUTH SHORE DR & E 67 TH ST,2016,6100,41.773560161000034,-87.56680865299995,census
14,Miscellaneous-CDOT,S Spauding & W 51 ST-W 52 ST,2006,676,41.8099106,-87.7064314,google
14,Miscellaneous-CDOT,S Spaulding & W 56 ST-W 57 ST,2006,5669,41.7916595,-87.7059357,google
24,Street Traffic Circle Menu,S SPAULDING AVE & W 13 TH ST,2022,12635.03,41.86454629100007,-87.70804739499994,census
17,Alley Apron Menu,S SPAULDING AVE & W 71 ST ST,2017,5240.535,41.7643399,-87.705241,google
17,Alley Apron Menu,S SPAULDING AVE & W 71 ST ST,2018,8613.26,41.7643399,-87.705241,google
3,Miscellaneous Other,S ST LAWRENCE AVE & E 47 TH ST,2015,2300,41.8094492,-87.6114582,google
12,Street Traffic Circle Menu,S ST LOUIS AVE & W 38 TH ST,2016,3008.47,41.82429515900003,-87.71180196999995,census
24,Street Light Pole for High Definition Camera Menu,S ST LOUIS AVE & W LEXINGTON ST,2018,6000,41.8717825,-87.7131419,google
28,Alley Apron Menu,S ST LOUIS AVE & W VAN BUREN ST,2020,28334.61,41.87542410700007,-87.71295969799996,census
3,Pedestrian Refuge Island Menu,S STATE ST & E 13 TH ST,2016,10057,41.8657458,-87.6273268,google
3,Pedestrian Refuge Island Menu,S STATE ST & E 13 TH ST,2017,11166.57,41.8657458,-87.6273268,google
3,Speed Indicator Signs,S STATE ST & E 18 TH ST,2022,5500,41.857821020000074,-87.62712304299998,census
3,4 POD Cameras & 7 LPR on Existing Cameras: Various Locations,S STATE ST & E 31 ST ST,2021,19544.5555555556,41.83830446700006,-87.62676929299994,census
3,Miscellaneous CDOT Projects,S STATE ST & E 43 RD ST,2021,2500,41.8164929,-87.6262091,google
3,Sidewalk Menu,S STATE ST & E 54 TH ST,2018,4320.48,41.7964703,-87.6258055,google
2,Traffic Signals,S STATE ST & E 8 ST,2008,8800,41.87181022800007,-87.62745267399998,census
6,Miscellaneous CDOT Projects,S STATE ST & E 83 RD ST,2022,5200,41.7436581,-87.6243226,google
6,Miscellaneous CDOT Projects,S STATE ST & E 87 TH ST,2022,5200,41.73629982500006,-87.62416440599998,census
3,In-Road State Law Stop,S STATE ST & W 23 RD ST,2012,550,41.8510813,-87.6270491,google
2,Traffic Signals,S STATE ST & W HARRISON ST,2006,40000,41.87437491600008,-87.62753709199995,census
2,Miscellaneous Other,S STATE ST & W MADISON ST,2013,2800,41.882044861000054,-87.627802403999965,census
2,Traffic Signals,S STATE ST & W POLK ST,2008,8800,41.87230467400008,-87.62762552899994,census
42,Left-Turn Arrow Menu,S STATE ST & W RANDOLPH L ST,2012,5050,41.8844882,-87.627896,google
3,4 POD Cameras & 7 LPR on Existing Cameras: Various Locations,S STATE ST & W ROOSEVELT RD,2021,19544.5555555556,41.8674669,-87.627495,google
11,Viaduct Improvement Menu,S STEWART AVE & W 35 TH ST,2017,15688.66,41.7917108,-87.6355427,google
11,Viaduct Improvement Menu,S STEWART AVE & W 38 TH ST,2017,52500,41.8249148,-87.6751219,google
5,In-Road State Law Stop for Pedestria,S STONY ISLAND AV & E 62 ST,2008,800,41.782910419000075,-87.58651816099996,census
5,In-Road State Law Stop,S STONY ISLAND AVE & E 62 ND ST,2014,950,41.782910419000075,-87.58651816099996,census
5,In-Road State Law Stop,S STONY ISLAND AVE & E 62 ND ST,2015,600,41.782910419000075,-87.58651816099996,census
8,3 LPR on POD Cameras: 95th & S Stony Island; 92nd & S Constance; 93rd & S Dobson,S STONY ISLAND AVE & E 95 TH ST,2021,10971,41.72234277600006,-87.58512325999999,census
8,3 POD Cameras: 93rd & S Dobson; 95th & South Stony Island; 92nd & S Constance,S STONY ISLAND AVE & E 95 TH ST,2021,24776,41.72234277600006,-87.58512325999999,census
14,Miscellaneous-CDOT,S Talman & W 53 ST - W 54 ST,2006,17530,41.7973933,-87.6902365,google
14,Miscellaneous-CDOT,S Talman & W 54 ST - W 55 ST,2006,1940,41.795586,-87.6901907,google
11,Concrete Alley Menu,S THROOP ST & S HILLOCK AVE,2021,33500,41.84554428400003,-87.65588131699997,census
2,Pole Painting,S THROOP ST & S LOOMIS ST,2010,200,41.8569989,-87.6588529,google
11,2 POD CAMERAS,S THROOP ST & S LYMAN ST,2019,24776,41.8414556,-87.6523728,google
34,Street Cul-de-Sac Menu,S THROOP ST & W 105 TH PL,2016,30807.94,41.701773013000036,-87.65482408699995,census
34,Street Cul-de-Sac Menu,S THROOP ST & W 105 TH PL,2017,8478.43,41.701773013000036,-87.65482408699995,census
34,Street Cul-de-Sac Menu,S THROOP ST & W 106 TH PL,2016,31497.33,41.70084441900008,-87.65479192799995,census
34,Street Cul-de-Sac Menu,S THROOP ST & W 106 TH PL,2017,8478.43,41.70084441900008,-87.65479192799995,census
10,1 LPR w/o Camera NW Corner 130th and Torrence,S TORRENCE AVE & E 130 TH ST,2022,27410,41.6591616,-87.5786743,google
14,Miscellaneous-CDOT,S Troy & S Archer - W 44 ST,2006,4468,41.81465,-87.7033444,google
14,Miscellaneous-CDOT,S Troy & W 44 St - W 45 ST,2006,9108,41.8135969,-87.7029179,google
14,Miscellaneous-CDOT,S Troy & W 45 ST - W 46 ST,2006,6369,41.8117846,-87.7028595,google
14,Miscellaneous-CDOT,S Troy & W 51 ST-W 52 ST,2006,5582,41.8008409,-87.7025359,google
14,Miscellaneous-CDOT,S Trumbull & W 55 ST-W 56 ST,2006,14370,41.7934279,-87.7096837,google
14,Miscellaneous-CDOT,S Trumbull & W 56 ST-W 57 ST,2006,16451,41.7916015,-87.7096304,google
14,Miscellaneous-CDOT,S Trumbull & W 57 ST-W 58 ST,2006,8360,41.7897731,-87.7095607,google
14,Miscellaneous-CDOT,S Trumbull & W 58 ST- W 59 ST,2006,2827,41.7879664,-87.709512,google
9,Pavement Markings,S UNION AVE & W 127 TH ST,2015,700,41.663286611000046,-87.63900582999997,census
11,2 POD Cameras & 2 LPR on Existing Cameras: 18th & Union; Canalport & Emerald,S UNION AVE & W 18 TH ST,2021,35747,41.857575807000046,-87.64477838799996,census
34,Pavement Markings,S UNION AVE & W 98 TH PL,2015,1100,41.71518335700006,-87.64061378499997,census
5,In-Road State Law Stop,S UNIVERSITY AVE & E 55 TH ST,2013,550,41.7950436,-87.5980971,google
3,Street Resurface Menu(1-5),S VERNON AVE & E 43 ST (4300 S)Dead End (4319 S),2011,19289,41.8166447,-87.6152702,google
4,Pavement Markings Menu,S VINCENNES AV & E 37 ST,2010,400,41.827539209000065,-87.61162637699994,census
4,2 POD CAMERAS - 53rd/Blackstone & 37th/Vincennes,S VINCENNES AVE & E 37 TH ST,2018,27011,41.827539209000065,-87.61162637699994,census
17,In-Road State Law Stop,S VINCENNES AVE & W 80 TH ST,2015,600,41.74895443100007,-87.63469249099995,census
21,Viaduct Improvement Menu,S VINCENNES AVE & W 87 TH ST,2016,39437.8,41.73605461200003,-87.64516831699996,census
21,Viaduct Improvement Menu,S VINCENNES AVE & W 87 TH ST,2017,5562.2,41.73605461200003,-87.64516831699996,census
1,In-Road State Law Stop For Pedestrians Sign,s W DIV ISION ST & N PAULINA ST,2018,350,41.9032963,-87.6699345,google
1,In-Road State Law Stop For Pedestrians Sign Menu,s W DIVISION ST & N PAULINA ST,2017,350,41.9032963,-87.6699345,google
1,In-Road State Law Stop For Pedestrians Sign Menu,s W DIVISION ST & N PAULINA ST,2017,350,41.9032963,-87.6699345,google
1,In-Road State Law Stop For Pedestrians Sign Menu,s W DIVISION ST & N WOLCOTT AVE,2017,600,41.9032337,-87.6748159,google
2,In-Road State Law Stop For Pedestrians Sign,s W FUL LERTON AVE & N LAKEWOOD AVE,2018,350,41.9252481,-87.6608861,google
35,In-Road State Law Stop For Pedestrians Sign,s W LAW RENCE AVE & N LAWNDALE AVE,2018,600,41.9683312,-87.7206909,google
35,In-Road State Law Stop For Pedestrians Sign,s W LAW RENCE AVE & N SPRINGFIELD AVE,2018,600,41.9682828,-87.7255836,google
1,In-Road State Law Stop For Pedestrians Sign Menu,s W MEDILL AVE & N MILWAUKEE AVE,2017,350,41.923835610000026,-87.69886597299995,census
1,In-Road State Law Stop For Pedestrians Sign Menu,s W MEDILL AVE & N MILWAUKEE AVE,2017,350,41.923835610000026,-87.69886597299995,census
3,LED Traffic Signal Upgrades & Pedestrian Countdown Signal,S WABASH AVE & E 24 TH ST,2018,48000,41.8492635,-87.6254035,google
3,LED Traffic Signal Upgrades & Pedestrian Countdown Signal,S WABASH AVE & E 24 TH ST,2019,61746,41.8492635,-87.6254035,google
3,1 POD Camera NE Corner of Cermack and Wabash,S WABASH AVE & E CERMAK RD,2021,24776,41.8527625,-87.6254879,google
2,Pavement Markings,S WABASH AVE & E ROOSEVELT RD,2013,3700,41.867404,-87.6258145,google
11,Viaduct Improvement Menu,S WALLACE ST & W 40 TH PL,2018,18000,41.8207807,-87.6409649,google
11,High Definition Camera Menu,S WALLACE ST & W 43 RD ST,2016,27011,41.8162613,-87.6408578,google
12,1 POD Camera: 2326 S Washtenaw,S WASHTENAW AVE & W 23 RD PL,2021,24776,41.8492183,-87.6928803,google
12,Alley Apron Menu,S WASHTENAW AVE & W POPE JOHN PAUL II DR (4300 S),2011,25387,41.8154285,-87.7042633,google
25,1 PTZ Camera - Wells and Tan Court,S WELLS ST & S TAN CT,2021,24776,41.8557621,-87.6331396,google
11,High Definition Camera Menu,S WELLS ST & W 34 TH ST,2016,27011,41.83274094300003,-87.63275892499996,census
3,Alley Resurfacing Menu,S WELLS ST & W 57 TH ST,2017,4381.27,41.7908928,-87.6317468,google
42,Left-Turn Arrow Menu,S WELLS ST & W CHICAGO AVE,2012,20900,41.89659685300006,-87.63420206499995,census
25,Pavement Markings Menu,S WELLS ST & W CONGRESS PKWY,2017,400,41.8756691,-87.6336548,google
3,4 POD Cameras & 7 LPR on Existing Cameras: Various Locations,S WELLS ST & W,2021,19544.5555555556,41.8290381,-87.6326705,google
20,Viaduct Improvement Menu,S WENTWORTH AVE & W 63 RD ST,2017,41182,41.7800167,-87.6301527,google
3,4 POD Cameras & 7 LPR on Existing Cameras: Various Locations,S WENTWORTH AVE & W GARFIELD BLVD,2021,19544.5555555556,41.7945465,-87.6305132,google
19,Chicago Park District,S WESTERN AVE & W 115 TH ST,2014,30380,41.68450759700005,-87.68092521499995,census
15,Traffic Signal Modernization Design Menu,S WESTERN AVE & W 48 TH PL,2017,25000,41.8056707,-87.6843529,google
25,1 - LPR/Existing Camera - NE Western & Cermak,S WESTERN AVE & W CERMAK RD,2022,10971,41.85203238200006,-87.68563652299997,census
16,Left-Turn Arrow Menu,S WESTERN AVE & W GARFIELD BLVD,2014,21650,41.7938146,-87.6839746,google
14,Miscellaneous-CDOT,S Whipple & W 43 ST - W 44 ST,2006,1484,41.81545,-87.7005606,google
14,Miscellaneous-CDOT,S Whipple & W 44 ST - W 45 ST,2006,9043,41.8136338,-87.7004844,google
14,Miscellaneous-CDOT,S Whipple & W 46 ST - W 47 ST,2006,2217,41.8058569,-87.8302004,google
14,Miscellaneous-CDOT,S Whipple & W 51 ST-W 52 ST,2006,6237,41.8008875,-87.70047,google
14,Miscellaneous-CDOT,S Whipple & W 52 ST-W 53 ST,2006,11154,41.7990485,-87.7000318,google
14,Miscellaneous-CDOT,S Whipple & W 58 ST-W 59 ST,2006,6641,41.7881199,-87.6997383,google
15,Street Traffic Circle Menu,S WINCHESTER AVE & W 48 TH ST,2018,12036.37,41.80670413200005,-87.67342410599997,census
18,Street Traffic Circles Menu,S WOLCOTT AV & W 84 ST,2008,15000,41.74115584900005,-87.67048958799995,census
5,Sidewalk Menu,S WOODLAWN AVE & E 55 TH ST,2017,5397.3,41.79506655900008,-87.59654375999997,census
20,Pedestrian Refuge Island Menu,S WOODLAWN AVE & S MINERVA AVE,2018,43221.87,41.77898700900005,-87.59616589099994,census
21,Sidewalk Menu - Change Order,S. Laflin & W. 90 th St.,2009,2471,41.73037049100003,-87.66046800899994,census
2,POD Camera,Sacremento & Washington,2007,12000,41.8612972,-87.702185,google
46,MONTROSE&CLARENDON; SE BROADWAY &W WILSON AVE; N HAZEL ST &  W MONTROSE AVE; N BROADWAY &  W SUNNYSIDE AVE,SE BROADWAY & W WILSON AVE,2022,30970,41.965401245000066,-87.65747319299999,census
48,POD Camera,SE corner of Lawrence & Sheridan,2008,24000,41.9690866,-87.6548092,google
32,Miscellaneous-CDOT,Seminary & Maud,2009,800,41.9162569,-87.6554252,google
46,POD Camera,Sheridan & Sunnyside,2011,20000,41.9636173,-87.6547747,google
2,Miscellaneous-CDOT,Southwest corner of DMLKD & 31 st S,2009,1800,41.8394083,-87.6841242,google
30,High Definition Camera,Springfield & Hirsch,2012,22500,41.9062917,-87.72398,google
30,POD Camera,Springfield & Schubert,2010,20000,41.9300259,-87.7244682,google
23,Traffic Signals,SRRAGANSETT AV & W ARCHER AV,2009,12000,41.7923069,-87.7818106,google
23,Street Traffic Circles Menu,SSHVILLE AV & W 52 ST,2008,4751,41.7977847,-87.7868393,google
23,Street Traffic Circles Menu,SSHVILLE AV & W 52 ST,2009,7653,41.7977847,-87.7868393,google
11,Viaduct Improvement Menu,ST & S PRINCETON AVE,2021,8364.395,41.7585643,-87.6320642,google
26,POD Camera,St. Louis & McLean (SW corner),2009,37000,41.809825,-87.7112075,google
26,POD Camera,St. Louis & Wabansia (SW corner),2009,37000,41.9114794,-87.744098,google
11,Miscellaneous-CDOT,Stark St fencing material & installation,2007,15545,41.8458693,-87.6542629,google
23,Chicago Park District,Stars & Stripes Playground,2013,154112,NA,NA,google
42,Miscellaneous-CDOT,State & Pearson,2008,3000,41.8975323,-87.6282273,google
28,POD Camera,Superior & Kilpatrick,2005,24000,41.8940969,-87.7434732,google
33,POD Camera,SW corner of Argyle & N. Troy,2008,24000,41.972098,-87.707327,google
48,Alley Apron Menu,THORNDALE AVE & N KENMORE AVE 6149 N GLENWOOD AVE,2021,6360.115,41.9935915,-87.6565468,google
25,POD Camera,Throop & 18,2007,28000,41.8519218,-87.6591109,google
20,Sidewalk Menu,TO & E 59 ST (5900 S),2013,30588,41.7876857,-87.606086,google
3,Miscellaneous-Other,Trash container at 35 th & Michigan,2011,800,41.8310445,-87.6232472,google
44,Miscellaneous-Other,Underpass at Belmont & Lake Shore Drive,2010,100000,41.9401237,-87.6395418,google
42,Miscellaneous-CDOT,Upper Randolph & Field Blvd,2009,383500,41.8845342,-87.6173955,google
28,High Definition Camera,Van Buren & Kostner,2012,1800,41.8751357,-87.7352721,google
2,POD Camera,Van Buren & Washtenaw,2010,20000,41.8759989,-87.6937187,google
4,Miscellaneous-Other,Viaduct art Panel at 53 rd & 55 th St,2009,10500,NA,NA,google
26,Schools,Von Humboldt & Duprey - 2620 W. Hirsch St.,2011,40000,41.9071093,-87.6929026,google
34,Street Light Upgrade,W 101 ST PL & S ELIZABETH ST,2015,5000,41.7090312,-87.6537646,google
19,Pavement Markings Menu,W 101 ST ST & S WESTERN AVE,2022,1500,41.7100176,-87.6817197,google
19,Pavement Markings Menu,W 102 ND PL & S PROSPECT AVE,2011,4044,41.707252,-87.6621311,google
34,Street Resurfacing Menu,W 103 RD PL & S CHARLES ST,2020,21008.55,41.7061744,-87.6583928,google
19,OEMC Camera Project Implementation,W 103 RD ST & S WESTERN AVE,2021,160985.96,41.7063262,-87.6816007,google
19,Street Resurfacing Menu,W 104 TH PL & S MAPLEWOOD AVE,2017,20148.15,41.70453467500005,-87.68527473399996,census
19,Guardrail Menu,W 105 TH ST & S SPRINGFIELD AV (3900 W),2011,794,41.702263,-87.7182993,google
34,Street Light Upgrade Menu,W 109 TH PL & S VINCENNES AVE,2019,8000,41.6948725,-87.6614148,google
34,Street Resurfacing Menu,W 109 TH PL & S VINCENNES AVE,2019,29204.65,41.6948725,-87.6614148,google
34,Traffic Signals,W 111 ST & S HALSTED ST,2008,11000,41.6923515,-87.6423195,google
34,Traffic Signals,W 111 ST & S VINCENNES AV,2008,11000,41.692106,-87.6633551,google
34,In-Road State Law Stop,W 111 TH ST & S PERRY AVE,2014,550,41.6925476,-87.6258361,google
34,Miscellaneous CDOT Projects,W 111 TH ST & S THROOP ST,2021,660,41.6922091,-87.6545483,google
34,Street Traffic Circles Menu,W 112 ST & S RACINE AV,2009,6770,41.6904217,-87.6520465,google
34,In-Road State Law Stop for Pedestria,W 114 ST & S PERRY AV,2010,410,41.6870996,-87.6256593,google
34,Cul-de-sac,W 114 TH PL & S LOOMIS ST,2018,7013.54,41.6857808,-87.6567749,google
34,Traffic Signals,W 115 ST & S HALSTED ST,2008,11000,41.6850809,-87.6422123,google
19,Chicago Park District,W 115 TH ST & S WESTERN AVE,2013,123738,41.6845176,-87.6808654,google
19,Curb & Gutter Menu,W 116 TH ST & S ST LOUIS AVE,2017,10341.67,41.68141228300004,-87.70774992399998,census
34,Sidewalk Menu,W 119 TH ST & S ASHLAND AVE,2016,2560.015,41.67754515200005,-87.66136444399996,census
9,Alley Speed Hump Menu,W 125 TH PL & S STATE ST,2019,1400,41.66634976600005,-87.62223083999999,census
9,Alley Speed Hump Menu,W 125 TH ST & S STATE ST,2019,1400,41.66634976600005,-87.62223083999999,census
2,Street Lighting,W 13 ST & S THROOP ST,2010,1000,41.8651994,-87.6590859,google
24,1 POD Camera: 13th & Troy,W 13 TH ST & S TROY ST,2020,24776,41.86459051000003,-87.70438929799997,census
24,POD Camera - 3 locations,W 13 TH ST & S TROY ST,2018,27011,41.86459051000003,-87.70438929799997,census
2,Street Lighting,W 14 PL & S THROOP ST,2010,1000,41.862476049000065,-87.65899672999996,census
2,Pole Painting,W 14 ST & S ASHLAND AV,2009,2000,41.863271987000076,-87.66629282499997,census
2,Street Lighting,W 14 ST & S THROOP ST,2010,1000,41.86338856400005,-87.65902486899995,census
11,2 POD CAMERAS,W 14 TH PL & S MORGAN ST,2019,24776,41.862283095000066,-87.65089263699997,census
11,Street Cul-de-Sac Menu,W 14 TH ST & S UNION AVE,2021,31003.79,41.863593,-87.6449994,google
11,Sidewalk Menu,W 15 TH ST & S MORGAN ST,2018,35711.7,41.861688152000056,-87.65086851799998,census
24,Bollard Menu,W 15 TH ST & S TRIPP AVE,2018,1701.08,41.86061082200007,-87.73111752899996,census
2,Street Lighting,W 16 ST & N MICHIGAN AV,2009,5000,41.86026913100005,-87.62398753099995,census
11,Viaduct Improvement Menu,W 16 TH ST & S HALSTED ST,2018,15069.6,41.85991136100006,-87.64670391399994,census
24,POD Camera - 3 locations,W 16 TH ST & S HAMLIN AVE,2018,27011,41.85892246900005,-87.72006283899998,census
25,Traffic Signals,W 18 ST & S HALSTED ST,2006,134,41.85809437200004,-87.64664763599995,census
25,Traffic Signals,W 18 ST & S HALSTED ST,2007,17375,41.85809437200004,-87.64664763599995,census
25,Traffic Signals,W 18 ST & S HALSTED ST,2008,12991,41.85809437200004,-87.64664763599995,census
25,Traffic Signals,W 18 ST & S HALSTED ST,2009,500,41.85809437200004,-87.64664763599995,census
25,1 - LPR/No Camera - SW 18th St & Ashland,W 18 TH ST & S ASHLAND AVE,2022,27410,41.85779690100003,-87.66613604999998,census
25,Miscellaneous Other,W 18 TH ST & S LOOMIS BLVD,2012,2576,41.85787729800006,-87.66131620499993,census
25,Miscellaneous Other,W 18 TH ST & S LOOMIS BLVD,2012,7030,41.85787729800006,-87.66131620499993,census
25,Arterial Street Bump Outs Menu,W 18 TH ST & S MILLER ST,2022,53343.9,41.85802,-87.6522035,google
25,Street Bump Outs Menu,W 18 TH ST & S MILLER ST,2022,25284.52,41.85802,-87.6522035,google
25,Miscellaneous Other,W 18 TH ST & S PAULINA ST,2012,1500,41.8568376,-87.6686308,google
25,Street Light Pole Painting Menu,W 18 TH ST & S PAULINA ST,2017,1200,41.8568376,-87.6686308,google
25,Miscellaneous-CDOT,W 18 th ST & S WOLCOTT AVE,2010,400,41.8577003,-87.6735468,google
25,1 - LPR/Exiting Camera - Cermak & Ashland,W 19 TH ST & S MORGAN ST,2022,24776,41.8566645,-87.6515299,google
24,Viaduct Improvement Menu,W 19 TH ST & S WASHTENAW AVE,2019,7490,41.8556303,-87.6931202,google
25,Miscellaneous-CDOT,W 21 PL & S DAMEN AV,2010,700,41.8531099,-87.6758508,google
25,1 - PTZ Camera - SE 21st St & Hoyne,W 21 ST ST & S HOYNE AVE,2022,24776,41.8530683,-87.6783072,google
12,Street Lighting,W 22 ND PL & S CALIFORNIA AV (2800 W)Dead End (2866 W),2011,68250,41.841857,-87.6958091,google
25,Sidewalk Menu - Change Order,W 22 ND PL & S WOOD ST (1800 W)Dead End (850 W),2011,15427,41.7213127,-87.6676439,google
25,Street Lighting,W 23 PL & S LEAVITT ST,2009,4500,41.849382,-87.6806577,google
12,In-Road State Law Stop For Pedestrians Sign Menu,W 23 RD ST & S MARSHALL BLVD,2021,600,41.8500294,-87.6990236,google
25,Street Resurfacing Menu,W 23 RD ST & S STEWART AVE,2015,15194,41.8509207,-87.63671,google
12,Miscellaneous Other,W 23 RD ST & S WHIPPLE ST,2014,34850,41.8499864,-87.701512,google
25,Miscellaneous-CDOT,W 23 ST & S DAMEN AV,2010,700,41.8503737,-87.6757753,google
25,Miscellaneous-CDOT,W 23 ST & S WESTERN AV,2010,500,41.8502234,-87.6855695,google
2,Pole Painting,W 23 ST & W MONROE ST,2008,300,41.8803935,-87.6285568,google
11,Viaduct Improvement Menu,W 24 TH PL & S CANAL ST,2019,8039.77,41.84816525100007,-87.63840686699996,census
11,Viaduct Improvement Menu,W 24 TH PL & S CANAL ST,2019,21000,41.84816525100007,-87.63840686699996,census
25,Viaduct Improvement Menu,W 24 TH PL & S CANAL ST,2019,21000,41.84816525100007,-87.63840686699996,census
25,Viaduct Improvement Menu,W 24 TH PL & S CANAL ST,2019,8039.78,41.84816525100007,-87.63840686699996,census
11,Alley Resurfacing Menu,W 24 TH PL & S STEWART AVE,2021,8599.44,41.8481869,-87.6366117,google
11,Alley Resurfacing Menu,W 24 TH PL & S WENTWORTH AVE,2021,8599.44,41.8482337,-87.6319799,google
22,Street Lighting,W 24 TH ST & S CENTRAL PARK AVE,2011,3500,41.8480398,-87.7148767,google
25,1 PTZ Camera - 24th St and Princeton,W 24 TH ST & S PRINCETON AVE,2021,24776,41.8491085,-87.6347101,google
22,Traffic New Signals,W 24 TH ST & S PULASKI RD,2012,350000,41.847917,-87.7246641,google
22,Street Lighting,W 25 ST & S KEELER AV,2010,1000,41.8460131,-87.7294711,google
11,Viaduct Improvement Menu,W 26 TH ST & S CANAL ST,2018,120000,41.84543976700007,-87.63833450899995,census
11,Viaduct Improvement Menu,W 26 TH ST & S CANAL ST,2018,38451.4,41.84543976700007,-87.63833450899995,census
11,4 POD Cameras; 1 LPR on Existing Camera: Various Locations,W 26 TH ST & S CANAL ST,2021,22015,41.84543976700007,-87.63833450899995,census
11,5 LPR on Existing Cameras: Various Locations,W 26 TH ST & S CANAL ST,2021,10971,41.84543976700007,-87.63833450899995,census
22,Arterial Street Bump Outs Menu,W 26 TH ST & S KOLIN AVE,2021,31861.26,41.84414134300005,-87.73265714599995,census
22,Arterial Street Bump Outs Menu,W 26 TH ST & S KOLIN AVE,2022,15779.715,41.84414134300005,-87.73265714599995,census
22,Street Lighting,W 27 ST & S KOLIN AV,2010,500,41.84230023500004,-87.73301491599995,census
22,Street Lighting,W 27 TH ST & S CENTRAL PARK AVE,2011,3500,41.84255348800008,-87.71474050799998,census
22,Street Lighting,W 27 TH ST & S LAWNDALE AVE,2011,3500,41.84251730900007,-87.71717655999998,census
22,Traffic Signals,W 27 TH ST & S PULASKI RD,2011,350000,41.84241279200006,-87.72449677399999,census
22,Street Lighting,W 28 ST & S KOLIN AV,2010,1000,41.8404672,-87.7329687,google
11,Street Traffic Circle Menu,W 28 TH PL & S PRINCETON AVE,2021,15746.2857142857,41.84258966700003,-87.63421010499997,census
11,Street Traffic Circle Menu,W 28 TH PL & S WELLS ST,2021,15746.2857142857,41.84261378600007,-87.63299207899996,census
22,Street Traffic Circle Menu,W 28 TH ST & S KOMENSKY AVE,2020,3448.725,41.8405379,-87.7256552,google
22,Street Lighting,W 28 TH ST & S LAWNDALE AVE,2011,3500,41.84068424000003,-87.71713234099997,census
11,Viaduct Improvement Menu,W 29 TH ST & S CANAL ST,2018,14045.59,41.8417982,-87.6382291,google
11,High Definition Camera Menu,W 29 TH ST & S POPLAR AVE,2016,27011,41.84133948200008,-87.64971882999998,census
11,Street Traffic Circle Menu,W 29 TH ST & S SHIELDS AVE,2021,15746.2857142857,41.84112240800005,-87.63538793199996,census
11,Street Traffic Circle Menu,W 29 TH ST & S WELLS ST,2021,15746.2857142857,41.84115858700005,-87.63295589999996,census
22,Street Lighting,W 30 TH ST & S LAWNDALE AVE,2011,3500,41.83884715200003,-87.71708008199994,census
11,Street Traffic Circle Menu,W 30 TH ST & S SHIELDS AVE,2021,15746.2857142857,41.83966720900003,-87.63535175299995,census
11,Sidewalk Menu,W 31 ST PL & S BENSON ST,2019,32208.24,41.83694172500003,-87.66080165899996,census
11,Alley Apron Menu,W 31 ST PL & S RACINE AV (1200 W),2011,11958,41.73635,-87.653539,google
11,Design and installation of left turn arrows at S. Halsted St. & W. 31st St. (Ward 11),W 31 ST ST & S HALSTED ST,2022,154406,41.83804719400007,-87.64627780599994,census
22,Traffic Signal LED,W 31 ST ST & S KEELER AVE,2012,20000,41.836829168000065,-87.72920808199996,census
22,In-Road State Law Stop For Pedestrians Signs Menu,W 31 ST ST & S KILDARE AVE,2020,300,41.8367901,-87.7316513,google
22,In-Road State Law Stop For Pedestrians Signs Menu,W 31 ST ST & S KILDARE AVE,2020,175,41.8367901,-87.7316513,google
11,High Definition Camera Menu,W 31 ST ST & S LITUANICA AVE,2016,27011,41.83801503500007,-87.64870179799999,census
11,In-Road State Law Stop,W 31 ST ST & S LOWE AVE,2014,600,41.83809141300003,-87.64263980799996,census
11,Arterial Street Bump Outs Menu,W 31 ST ST & S QUINN ST,2022,65898.58,41.83802307500008,-87.64809881499997,census
22,Installation of Rectangular Rapid Flashing Beacons on W. 31st St. at S. Ridgeway Ave.,W 31 ST ST & S RIDGEWAY AVE,2021,74542.56,41.83699398400006,-87.71824584999996,census
22,Installation of Rectangular Rapid Flashing Beacons on W. 31st St. at S. Ridgeway Ave.,W 31 ST ST & S RIDGEWAY AVE,2022,18186.3,41.83699398400006,-87.71824584999996,census
3,Left-Turn Arrow Menu,W 31 ST ST & S STATE ST,2018,35000,41.83830446700006,-87.62676929299994,census
11,Viaduct Improvement Menu,W 31 ST ST & S STEWART AVE,2017,34500,41.8381725,-87.6363734,google
11,4 POD Cameras; 1 LPR on Existing Camera: Various Locations,W 31 ST ST & S WALLACE ST,2021,22015,41.838093,-87.6414034,google
11,5 LPR on Existing Cameras: Various Locations,W 31 ST ST & S WALLACE ST,2021,10971,41.838093,-87.6414034,google
