ward,type,location_no_dash,year,est_cost,lat,long,query
26,Miscellaneous - Paseo Boriqua Medalli,Paseo Boricua Medallions,2006,20000,41.9031849,-87.694751,google
26,Miscellaneous-CDOT,Paseo Boriqua Medallion,2006,45000,41.9031849,-87.694751,google
26,Schools,Pedro Albizu - 2658 W. Haddon,2005,48433,41.9022176,-87.6942191,google
26,Schools,Pedro Albizu -2658 W. Haddon,2007,37323,41.9022176,-87.6942191,google
26,Schools,Pedro Albizu H.S. parking lot -2658 W. Haddon,2008,6244,41.9022176,-87.6942191,google
25,Miscellaneous-CDOT,Permanent Street Cleaning Signs,2007,101002,41.7679382,-87.8140025,google
25,Miscellaneous-Other,Pilsen Community,2006,6524,41.857639,-87.659894,google
25,Miscellaneous Other,Plaza Tenochtitlan - CPAG,2012,85000,NA,NA,google
49,Miscellaneous-Other,Rogers Park Train Station,2010,78900,42.0091098,-87.6753999,google
39,Miscellaneous Other,Saugnash Mural,2013,10000,41.9899768,-87.7425332,google
48,Schools,Senn Academy,2006,25000,41.9890128,-87.6667743,google
48,Miscellaneous-CDOT,South Edgewater Study,2009,60000,41.9722542,-87.6595004,google
5,Chicago Park District,South Shore Cultural Center,2009,50370,41.7684565,-87.5636858,google
5,Chicago Park District,South Shore Cultural Center,2009,42000,41.7684565,-87.5636858,google
42,W. OHIO; FRANKLIN & CHICAGO MONTGOMERY WARD PARK,ST,2018,36014.6666666667,NA,NA,google
11,Miscellaneous-CDOT,Stockyard Truckers,2007,612,41.8199706,-87.6453965,google
32,Chicago Park District,Supera,2007,98750,41.9184146,-87.6482409,google
2,Miscellaneous Other,Temporary Parking signs in WEst Loop,2012,10000,41.8854407,-87.6627342,google
50,Chicago Park District,Thillens Stadium,2009,250000,41.9579921,-87.7257084,google
48,Miscellaneous-CDOT,Thorndale CTA Station,2010,31500,41.9901278,-87.6590417,google
10,Miscellaneous-Other,TIF Study Expansion - Calumet Marina,2009,20000,41.6242532,-87.5400041,google
24,Miscellaneous Other,Tree installation - 4043 W. Harrison St.,2012,539,41.8731002,-87.72717,google
19,Miscellaneous Other,Tree planting -2037 W. 108 th Pl,2012,515,41.6965365,-87.6730612,google
16,Miscellaneous-CDOT,Various locations- Decorative Waste Receptacles,2011,42716,NA,NA,google
11,Street Traffic Circle Menu,W 30 TH,2021,15746.2857142857,41.8387904,-87.7201238,google
39,Floodlight Menu,W CARMEN AVE & N SPAULDING AVE ON & N KENTON AVE FROM & W SUNNYSIDE AVE (4500 N) TO,2013,1200,42.0267178,-87.7426593,google
49,Miscellaneous Other,W Estes Ave & N Glenwood Ave,2013,3228,42.01156563200004,-87.66586671699997,census
39,Sidewalk Menu - Change Order,W FOSTER AVEKOSTNER,2011,1669,41.9754424,-87.7381101,google
45,Alley Resurfacing Menu,W GOODMAN ST,2019,5412.52333333333,41.97171,-87.7686033,google
49,Miscellaneous Other,W Lunt Ave & N Glenwood Ave,2013,3228,42.0091121,-87.6662054,google
49,Miscellaneous Other,W Touhy Ave & Main st,2013,3228,42.0117916,-87.8017797,google
40,Viaduct Improvement Menu,W,2022,5516.764,NA,NA,google
48,3 LPR Existing POD; 3 LPR w.o Existing POD; 1 POD Camera: Various Locations,W,2021,19988.4285714286,NA,NA,google
21,Sidewalk Menu - Change Order,W. 101 st Pl. Elizabeth Vincennes,2007,1486,41.7090312,-87.6537646,google
42,Miscellaneous-CDOT,Wacker Dr. near Field Blvd.,2007,2900,41.8781718,-87.6366732,google
1,Miscellaneous-Other,West Town Branch Library,2010,500000,41.8935946,-87.6721671,google
46,Miscellaneous-Other,Wilson Yard Development,2005,63962,41.9619841,-87.6559213,google
46,Miscellaneous-Other,Wilson Yard Development,2006,120432,41.9619841,-87.6559213,google
46,Miscellaneous-Other,Wilson Yard Development,2007,6009,41.9619841,-87.6559213,google
46,Miscellaneous-Other,Wilson Yard Development,2008,500117,41.9619841,-87.6559213,google
46,Miscellaneous-Other,Wilson Yard Development,2009,59480,41.9619841,-87.6559213,google
4,Miscellaneous-CDOT,Woodlawn to Harper,2007,47200,NA,NA,google
